GRAS Substance,SCOGS Report Number,CAS Reg. No. or other ID Code,Year of Report,SCOGS Type of Conclusion,21 CFR Regulation,21 CFR Regulation 2,NTIS Accession Number
" Gum Arabic",=T("1")," 9000-01-5",=T("1973"),=T("2"),=T("184.1330"),," PB234904"
" Butylated Hydroxytoluene (BHT)",=T("2")," 128-37-0",=T("1973"),=T("3"),=T("172.115"),," PB259917"
" Carob Bean Gum",=T("3")," 9000-40-2",=T("1972"),=T("2"),=T("184.1343"),," PB221952"
" Gum Tragacanth",=T("4")," 9000-65-1",=T("1972"),=T("2"),=T("184.1351"),," PB223835"
" Sterculia Gum (karaya gum)",=T("5")," 9000-36-6",=T("1973"),=T("2"),=T("184.1339"),," PB234905"
" Carrageenan",=T("6")," 9000-07-1",=T("1973"),=T("3"),=T("172.620"),," PB266877"
" Methyl Paraben",=T("8")," 99-76-3",=T("1972"),=T("1"),=T("184.1490"),," PB221950"
" Propyl Paraben",=T("8")," 94-13-3",=T("1972"),=T("1"),=T("184.1670"),," PB221950"
" Sorbitol",=T("9")," 50-70-4",=T("1972"),=T("1"),=T("184.1835"),," PB221951"
" Mannitol",=T("10")," 69-65-8",=T("1972"),=T("1"),=T("180.25"),," PB221953"
" Propyl Gallate",=T("11")," 121-79-9",=T("1973"),=T("1"),=T("184.1660"),," PB223840"
" Gum Ghatti",=T("12")," 9000-28-6",=T("1973"),=T("2"),=T("184.1333"),," PB223841"
" Guar Gum",=T("13")," 9000-30-0",=T("1973"),=T("2"),=T("184.1339"),," PB223836"
" Oil of Rue",=T("14")," 8014-29-7",=T("1973"),=T("2"),=T("184.1699"),," PB223839"
" Potassium metabisulfite",=T("15")," 16731-55-8",=T("1976"),=T("2"),=T("182.3637"),," PB265508"
" Sodium bisulfite",=T("15")," 7631-90-5",=T("1976"),=T("2"),=T("182.3739"),," PB265508"
" Sodium metabisulfite",=T("15")," 7681-57-4",=T("1976"),=T("2"),=T("182.3766"),," PB265508"
" Sodium sulfite",=T("15")," 7757-83-7",=T("1976"),=T("2"),=T("182.3798"),," PB265508"
" Sulfur dioxide",=T("15")," 7446-09-5",=T("1976"),=T("2"),=T("182.3862"),," PB265508"
